1,Afghanistan,Aibak
2,Afghanistan,Andkhoy
3,Afghanistan,Asadabad
4,Afghanistan,Baghlan
5,Afghanistan,Balkh
6,Afghanistan,Bamyan
7,Afghanistan,Baraki Barak
8,Afghanistan,Bazarak
9,Afghanistan,Buyni Qarah
10,Afghanistan,Charikar
11,Afghanistan,Faizabad
12,Afghanistan,Farah
13,Afghanistan,Fayroz Koh
14,Afghanistan,Gardez
15,Afghanistan,Ghazni
16,Afghanistan,Herat
17,Afghanistan,Jalalabad
18,Afghanistan,Kabul
19,Afghanistan,Kandahar
20,Afghanistan,Karukh
21,Afghanistan,Khanabad
22,Afghanistan,Khost
23,Afghanistan,Khulm
24,Afghanistan,Kotah-ye `Ashro
25,Afghanistan,Kunduz
26,Afghanistan,Lashkar Gah
27,Afghanistan,Mahmud-e Raqi
28,Afghanistan,Maidan Shahr
29,Afghanistan,Maimanah
30,Afghanistan,Mazar-e Sharif
31,Afghanistan,Mehtar Lam
32,Afghanistan,Nili
33,Afghanistan,Parun
34,Afghanistan,Pul-e `Alam
35,Afghanistan,Pul-e Khumri
36,Afghanistan,Qal`ah-ye Now
37,Afghanistan,Qal`ah-ye Zal
38,Afghanistan,Qalat
39,Afghanistan,Sar-e Pul
40,Afghanistan,Sharan
41,Afghanistan,Shibirghan
42,Afghanistan,Taluqan
43,Afghanistan,Tarin Kot
44,Afghanistan,Zaranj
45,Afghanistan,Zarghun Shahr
46,Albania,Bajram Curri
47,Albania,Ballsh
48,Albania,Belsh
49,Albania,Berat
50,Albania,Bilisht
51,Albania,Bulqize
52,Albania,Burrel
53,Albania,Cerrik
54,Albania,Corovode
55,Albania,Delvine
56,Albania,Divjake
57,Albania,Durres
58,Albania,Elbasan
59,Albania,Erseke
60,Albania,Fier
61,Albania,Fushe-Kruje
62,Albania,Gjirokaster
63,Albania,Gramsh
64,Albania,Kamez
65,Albania,Kavaje
66,Albania,Korce
67,Albania,Kruje
68,Albania,Krume
69,Albania,Kucove
70,Albania,Kukes
71,Albania,Lac
72,Albania,Lezhe
73,Albania,Libonik
74,Albania,Librazhd
75,Albania,Librazhd-Qender
76,Albania,Lushnje
77,Albania,Mamurras
78,Albania,Patos
79,Albania,Peqin
80,Albania,Permet
81,Albania,Peshkopi
82,Albania,Pogradec
83,Albania,Prrenjas
84,Albania,Puke
85,Albania,Roskovec
86,Albania,Rreshen
87,Albania,Rrogozhine
88,Albania,Sarande
89,Albania,Shengjin
90,Albania,Shijak
91,Albania,Shkoder
92,Albania,Sukth
93,Albania,Tepelene
94,Albania,Tirana
95,Albania,Vau i Dejes
96,Albania,Vlore
97,Algeria,Abadla
98,Algeria,Abalessa
99,Algeria,Adrar
100,Algeria,Afir
101,Algeria,Ain Abessa
102,Algeria,Ain Arnat
103,Algeria,Ain Azel
104,Algeria,Ain Beida
105,Algeria,Ain Defla
106,Algeria,Ain el Hammam
107,Algeria,Ain Oussera
108,Algeria,Ain Roua
109,Algeria,Ain Sefra
110,Algeria,Ain Temouchent
111,Algeria,Ain Zaouia
112,Algeria,Ait Bou Madhi
113,Algeria,Ait Yaich
114,Algeria,Akbou
115,Algeria,Algiers
116,Algeria,Amalou
117,Algeria,Amoucha
118,Algeria,Annaba
119,Algeria,Aomar
120,Algeria,Arbaoun
121,Algeria,Arhribs
122,Algeria,Azazga
